No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
11,V (V_T^0),11.01,,mag,5.42E14,0.144,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,090338.6 +604052 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
12,V (V_T),11.44,+/-0.17,mag,5.42E14,0.0966,0.0165,0.0165,,,+/-1.65E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,090338.6 +604052 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
13,R (Johnson) (JKT),11.15,+/-0.04,mag,4.7E14,0.1,0.00369,0.00369,,,+/-3.69E-03,Jy,2004A&A...414...23J,uncertainty,6373   A,Broad-band measurement,,Total flux,,From new raw data
15,I (Cousins),10.52,+/-0.06,mag,3.79E14,0.158,0.00897,0.00897,,,+/-8.97E-03,Jy,1996A&AS..118..111H,uncertainty,7900       A,Broad-band measurement,09 07 10.6 +60 29 59 (1995 ),Flux in fixed aperture,,From new raw data
16,I,10.44,+/-0.03,mag,3.79E14,0.17,0.0047,0.0047,,,+/-4.70E-03,Jy,2007ApJS..172..599S,uncertainty,7900 A,Broad-band measurement,09 07 33.5 +60 28 46 (J2000),Total flux,Observed magnitude,"Averaged new and previously published data; Standard CousinsR_C, I_C filters assumed"
17,I,10.14,,mag,3.79E14,0.224,,,,,,Jy,2007ApJS..172..599S,no uncertainty reported,7900 A,Broad-band measurement,09 07 33.5 +60 28 46 (J2000),Total flux,,"Averaged new and previously published data;Extinction-corrected for Milky Way; Standard Cousins R_C, I_C filters assumed"
18,J (ESO/SPM),14.9,+/-0.99,mJy,2.5E14,0.0149,9.92E-4,9.92E-4,,,+/-9.92E-04,Jy,1995ApJ...453..616S,rms uncertainty,1.198      microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
19,J (2MASS/FLWO),13.789,+/-0.054,mag,2.43E14,0.00486,2.42E-4,2.42E-4,,,+/-2.42E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
20,J (2MASS/FLWO),13.565,+/-0.023,mag,2.43E14,0.00598,1.27E-4,1.27E-4,,,+/-1.27E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
21,F_J (total),2.37,+/-1.78,log(mJy),2.41E14,0.234,0.0607,0.0607,,,+/-6.07E-02,Jy,1995ApJ...453..616S,1 sigma,1.244      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
22,J,9.714,+/-0.017,mag,2.4E14,0.207,0.00327,0.00327,,,+/-3.27E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,090733.53 +602845.6 (J2000),Flux in fixed aperture,150.4 x   72.2 arcsec integration area.,From new raw data
23,J,9.714,+/-0.009,mag,2.4E14,0.207,0.00172,0.00172,,,+/-1.72E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,090733.53 +602845.6 (J2000),Flux in fixed aperture,,From new raw data
24,J_14arcsec (2MASS),12.492,+/-0.011,mag,2.4E14,0.016,1.63E-4,1.63E-4,,,+/-1.63E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,090733.53 +602845.6 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
25,H (ESO/SPM),18.8,+/-1.25,mJy,1.9E14,0.0188,0.00125,0.00125,,,+/-1.25E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.580      microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
